NAME,RA,DEC,TRIGGER_TIME,T90,T90_ERROR,FLUENCE,FLUENCE_ERROR,T50,T50_ERROR,TRIGGER_NAME
GRB140113183                  ,75.63,3.18,56670.18328095,68.864,2.985,2.6523e-06,4.4906e-08,33.792,3.665,"bn140113183
"
GRB241201622                  ,179.85,3.18,60645.622212452,7.68,0.143,7.6815e-06,2.7946e-08,6.016,0.091,"bn241201622
"
GRB190502168                  ,94.18,3.29,58605.167713134,11.776,1.864,2.2123e-06,3.8038e-08,6.4,1.557,"bn190502168
"
GRB200404706                  ,61.93,3.27,58943.706282758,26.624,3.114,3.8916e-06,3.1258e-08,9.984,0.81,"bn200404706
"
GRB091231540                  ,241.26,3.29,55196.540145608,15.616,2.757,7.0907e-07,2.749e-08,4.352,0.724,"bn091231540
"
GRB260120963                  ,261.98,3.35,61060.963267906,8.128,0.202,1.587e-06,2.7316e-08,4.224,0.143,"bn260120963
"
GRB150215026                  ,305.62,3.38,57068.026002282,0.512,0.716,2.1519e-07,3.0305e-08,0.256,0.231,"bn150215026
"
GRB111127810                  ,103.7,3.5,55892.810436315,19.008,2.548,8.6427e-06,5.1802e-08,4.352,0.286,"bn111127810
"
GRB250717158                  ,22.85,3.51,60873.158461333,15.616,1.28,4.34e-06,4.082e-08,7.424,0.923,"bn250717158
"
GRB170918139                  ,36.56,3.52,58014.139153701,0.128,0.163,8.8478e-08,1.1721e-08,0.032,0.045,"bn170918139
"
GRB210531500                  ,135.79,3.52,59365.5000191,20.48,0.572,6.8924e-05,9.1109e-08,11.008,0.362,"bn210531500
"
GRB090908314                  ,282.25,3.54,55082.313797309,71.937,6.817,3.8184e-06,5.1674e-08,49.409,2.862,"bn090908314
"
GRB130504978                  ,91.6305,3.8339,56416.978443491,73.217,2.111,0.00012872,2.3234e-07,46.849,0.362,"bn130504978
"
GRB160822672                  ,272.129,3.584,57622.671990857,0.04,0.385,2.9504e-06,1.8681e-07,0.008,0.018,"bn160822672
"
GRB170810918                  ,187.939,3.6603,57975.917842415,136.96,14.954,7.1261e-06,1.0212e-07,55.552,1.145,"bn170810918
"
GRB150724782                  ,351.92,3.67,57227.781686505,37.889,0.572,2.8004e-05,4.3272e-08,11.52,0.81,"bn150724782
"
GRB100223110                  ,104.5,3.7,55250.109829935,0.256,0.091,1.4986e-06,1.1277e-08,0.064,0.091,"bn100223110
"
GRB180127879                  ,258.96,3.74,58145.879126053,17.664,1.639,1.43e-06,4.3723e-08,5.632,2.187,"bn180127879
"
GRB140610689                  ,286.26,3.907,56818.688525276,134.144,7.455,1.3801e-05,1.2365e-07,57.344,2.896,"bn140610689
"
GRB111226795                  ,21.5,3.87,55921.795119034,74.753,8.749,1.1451e-05,1.3911e-07,22.528,2.29,"bn111226795
"
GRB230114708                  ,236.31,3.88,59958.707799728,23.293,1.379,4.729e-06,4.0339e-08,9.216,0.724,"bn230114708
"
GRB231206789                  ,41.87,3.91,60284.789324058,2.816,2.415,5.8151e-07,2.021e-08,0.768,0.362,"bn231206789
"
GRB141207800                  ,159.99,3.91,56998.799549823,20.992,0.572,3.4197e-05,1.1607e-07,10.24,0.572,"bn141207800
"
GRB100503554                  ,147.48,3.96,55319.554211687,139.779,0.923,1.6959e-05,3.9279e-08,41.217,1.379,"bn100503554
"
GRB200710036                  ,77.88,3.98,59040.036192972,0.288,1.314,8.4878e-08,2.377e-08,0.064,0.258,"bn200710036
"
GRB190915240                  ,48.33,3.99,58741.239559155,13.824,0.572,2.7288e-06,2.9176e-08,6.656,0.572,"bn190915240
"
GRB220522110                  ,32.57,4.03,59721.110421035,5.824,0.951,1.0277e-06,1.5402e-08,1.088,0.143,"bn220522110
"
GRB100517243                  ,10.44,4.43,55333.242964144,29.633,4.482,2.6941e-06,4.2658e-08,10.816,0.889,"bn100517243
"
GRB101208203                  ,212.4,4.04,55538.203436522,0.192,1.478,3.0979e-07,1.5853e-08,0.192,0.143,"bn101208203
"
GRB181120265                  ,20.38,4.17,58442.26480421,17.374,0.799,3.5477e-06,1.656e-08,6.144,0.362,"bn181120265
"
