CLASS,DEC_Counterpart,Energy_Flux100,Flux1000,Frac_Variability,LP_Index,PL_Index,RAJ2000,RA_Counterpart,Redshift,SED_class,Source_Name,Unc_Energy_Flux100,Unc_Flux1000,Unc_Frac_Variability,Unc_LP_Index,Unc_PL_Index,Variability_Index
b'bll',44.6671184472,9.16097e-12,8.2186224e-10,0.25902322,2.0669274,2.1083546,96.3288,96.3261057417,-inf,b'LSP',b'4FGL J0625.3+4439',5.3410585e-13,4.8634638e-11,0.088005684,0.05602088,0.043782018,30.573887
b'fsrq',-54.6474183667,4.4614655e-12,1.9176206e-10,0.38856354,2.8006902,2.8163025,96.4523,96.4676279458,2.051,b'LSP',b'4FGL J0625.8-5441',4.8377096e-13,2.9942823e-11,0.12819323,0.102831446,0.09118113,29.855848
b'bll',-42.9683451806,2.476718e-12,2.5890762e-10,0.7053327,1.5512803,1.8910127,96.6095,96.6529344708,-inf,b'HSP',b'4FGL J0626.4-4259',4.2923575e-13,4.199272e-11,0.22491883,0.2650807,0.0866293,30.59556
b'bll',-17.179611206054688,2.8734812e-12,2.3961427e-10,0.0,2.3010237,2.2830894,96.6175,96.6094970703125,0.7,b'HSP',b'4FGL J0626.4-1712',5.5062655e-13,4.0658414e-11,10.0,0.12364592,0.14152469,8.810808
b'bcu',-26.01811408996582,1.9088526e-12,1.2226807e-10,0.0,2.5561373,2.5472162,96.7166,96.75814819335938,-inf,b'LSP',b'4FGL J0626.8-2603',4.8261807e-13,3.3416585e-11,10.0,0.18189535,0.20428912,6.410576
b'rdg',-35.4875943278,1.4562105e-11,1.2645706e-09,0.17233345,1.8903998,1.9114076,96.7747,96.7780391917,0.05494,b'HSP',b'4FGL J0627.0-3529',7.118462e-13,5.6734274e-11,0.065605864,0.040090036,0.032666877,25.004335
b'bcu',-67.21316528320312,1.7157835e-12,1.1199067e-10,0.4070552,2.4152467,2.5323346,97.152,97.16503143310547,-inf,b'LSP',b'4FGL J0628.6-6711',4.0063246e-13,2.512574e-11,0.29037115,0.34060115,0.17205924,20.031628
b'bcu',69.0053750611,2.7900173e-12,2.439582e-10,0.0,2.1557653,2.1972096,97.1695,97.3426617875,0.37,,b'4FGL J0628.6+6900',3.263604e-13,2.8222607e-11,10.0,0.11054205,0.086058244,11.506838
b'bll',-62.8124289194,6.418224e-12,7.639805e-10,0.31072372,2.0419757,2.191674,97.2174,97.2395328792,-inf,b'LSP',b'4FGL J0628.8-6250',5.736133e-13,4.7689866e-11,0.09338287,0.072241224,0.045161784,34.784435
b'bll',-19.9888121194,1.621301e-11,1.7486033e-09,0.95006627,2.1202097,2.2153473,97.3478,97.3490077583,1.724,b'LSP',b'4FGL J0629.3-1959',8.673908e-13,7.957248e-11,0.2065161,0.043568715,0.029939884,500.7918
b'bcu',32.43605422973633,1.5809094e-12,1.4170007e-10,0.0,2.0601828,2.1140847,97.5576,97.54454803466797,-inf,,b'4FGL J0630.2+3228',4.3572283e-13,3.755773e-11,10.0,0.22640814,0.17497224,10.665181
b'bll',-24.1128339444,4.818412e-11,4.91889e-09,0.25038278,1.6596212,1.8148626,97.7414,97.7480072125,1.238,b'HSP',b'4FGL J0630.9-2406',1.5534759e-12,1.1559323e-10,0.058701135,0.02839862,0.015061785,118.580635
b'fsrq',-22.3895426361,4.0878767e-12,3.506965e-10,1.0266695,2.5453913,2.586711,98.3696,98.3614722,1.508,b'LSP',b'4FGL J0633.4-2222',6.3620875e-13,4.5463272e-11,0.24075246,0.1407548,0.07642474,118.93026
b'fsrq',-23.5866547972,6.7858093e-12,4.0621326e-10,0.31398246,2.571291,2.598346,98.7305,98.7458374917,1.535,b'LSP',b'4FGL J0634.9-2335',6.48578e-13,4.291063e-11,0.12124614,0.09122956,0.06774642,24.19689
b'fsrq',-75.2713376167,1.14957835e-11,6.3860783e-10,0.9282053,2.6064348,2.6809666,98.9022,98.9437828667,0.653,b'LSP',b'4FGL J0635.6-7518',5.968254e-13,4.152215e-11,0.20195274,0.051896326,0.037910078,479.5424
b'bcu',71.6453628540039,8.198163e-12,6.707871e-10,1.2923137,2.281429,2.3097363,99.1828,99.17865753173828,-inf,b'LSP',b'4FGL J0636.7+7139',4.4574977e-13,3.871062e-11,0.2818496,0.051729213,0.04297507,413.6182
b'bcu',-35.6134375861,2.43698e-12,2.0809127e-10,0.0,2.1541111,2.244945,99.3708,99.44336975,-inf,b'LSP',b'4FGL J0637.4-3537',3.897607e-13,3.293217e-11,10.0,0.18309858,0.11367502,8.527581
b'bcu',60.2841682434082,1.5798674e-12,1.8982055e-10,0.30421782,2.3423183,2.3957422,99.5691,99.64897918701172,-inf,b'ISP',b'4FGL J0638.2+6020',3.9750833e-13,3.1386744e-11,0.25559893,0.19555053,0.11169198,15.004949
b'fsrq',73.4161224694,5.1104854e-12,1.9726455e-10,0.60540307,2.829671,2.880183,99.6711,99.8415052667,1.85,b'LSP',b'4FGL J0638.6+7320',4.4888786e-13,2.5838906e-11,0.14956892,0.0924454,0.07136035,76.7468
b'bcu',57.0306904722,2.0949115e-12,1.03220134e-10,0.5358995,2.6098783,2.7312121,99.6895,99.60727525,-inf,,b'4FGL J0638.7+5658',3.7294684e-13,2.3127647e-11,0.24865119,0.21348092,0.12471017,18.823591
b'bcu',35.1062676361,3.2315543e-12,1.9204616e-10,0.31421334,2.6012409,2.603651,99.9024,99.789951825,-inf,b'LSP',b'4FGL J0639.6+3503',5.447344e-13,3.5473787e-11,0.26199633,0.1292044,0.12520847,14.529087
b'bcu',-19.52170753479004,3.2069959e-12,1.7029003e-10,0.35725093,2.629236,2.6821249,100.181,100.24516296386719,-inf,b'LSP',b'4FGL J0640.7-1924',6.832623e-13,4.168837e-11,0.34064072,0.22572318,0.14207451,16.128204
b'bcu',-53.979671478271484,3.0666578e-12,2.2577878e-10,0.85672265,2.3967497,2.4274426,100.8154,100.83421325683594,-inf,b'LSP',b'4FGL J0643.2-5356',3.9806775e-13,2.992663e-11,0.22770272,0.116226465,0.09487984,56.42368
b'bcu',-33.241825103759766,1.8466997e-12,1.4521535e-10,0.3327539,2.2654443,2.3586667,100.8513,100.8941650390625,-inf,b'LSP',b'4FGL J0643.4-3314',4.0404423e-13,3.1038304e-11,0.49132016,0.24291447,0.1435166,14.764559
b'fsrq',-67.2159327667,1.565226e-11,1.7858854e-09,1.4289602,2.0254452,2.149859,101.1053,101.116850517,1.93,b'LSP',b'4FGL J0644.4-6712',7.490088e-13,6.429767e-11,0.30630752,0.044603027,0.0255172,1464.9364
b'bll',60.6475445472,3.7054977e-12,3.3001873e-10,0.54028875,2.147161,2.1438096,101.1623,101.148938871,0.3582,b'ISP',b'4FGL J0644.6+6039',3.7361677e-13,3.2373385e-11,0.16247156,0.084133096,0.07981866,35.516243
b'bcu',-28.8546439528,2.3127255e-12,2.5946126e-10,0.17952996,1.6578408,1.8971887,101.1743,101.182348562,0.49,,b'4FGL J0644.6-2853',4.2548915e-13,4.5488967e-11,0.3430091,0.20280352,0.09235511,12.567467
b'fsrq',-39.0608623111,2.7990223e-12,1.2281937e-10,0.64538246,2.721016,2.8037405,101.6784,101.628835529,0.681,b'LSP',b'4FGL J0646.7-3913',5.1880077e-13,2.980239e-11,0.21383382,0.22685245,0.13313247,29.39544
b'bll',-51.59661102294922,2.1212869e-12,1.7750643e-10,0.37311518,1.8552219,1.8464783,101.7727,101.79183197021484,-inf,b'HSP',b'4FGL J0647.0-5138',3.4356562e-13,3.1832564e-11,0.31292185,0.122274145,0.11674678,18.596008
