date YYY-MM-DD,rigidity_min GV,rigidity_max GV,electron_flux m^-2sr^-1s^-1GV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GV^-1,electron_flux_error_timedependent m^-2sr^-1s^-1GV^-1
2.97,4.02,4.338,0.043,0.043,0.071
4.02,5.9,1.866,0.017,0.019,0.028
5.9,7.09,0.8369,0.0114,0.0084,0.0124
7.09,8.48,0.4728,0.0074,0.0047,0.007
8.48,11.0,0.2454,0.0038,0.0025,0.0036
11.0,16.6,0.08352,0.00141,0.00084,0.00124
16.6,22.8,0.02539,0.00064,0.00025,0.00038
22.8,41.9,0.005523,0.000142,5.5e-05,8.2e-05
1.0,1.71,19.63,0.87,0.39,0.57
1.71,2.97,10.12,0.1,0.15,0.21
2.97,4.02,4.363,0.05,0.044,0.072
4.02,5.9,1.871,0.019,0.019,0.028
5.9,7.09,0.8347,0.0126,0.0083,0.0124
7.09,8.48,0.4752,0.0081,0.0048,0.0071
8.48,11.0,0.2457,0.0042,0.0025,0.0037
11.0,16.6,0.08655,0.00156,0.00087,0.00129
16.6,22.8,0.02475,0.00068,0.00025,0.00037
22.8,41.9,0.0061,0.000162,6.1e-05,9.1e-05
1.0,1.71,22.71,0.67,0.45,0.66
1.71,2.97,10.51,0.18,0.16,0.22
2.97,4.02,4.493,0.089,0.045,0.074
4.02,5.9,1.908,0.035,0.019,0.028
5.9,7.09,0.8676,0.0239,0.0087,0.0129
7.09,8.48,0.4692,0.0149,0.0047,0.007
8.48,11.0,0.2521,0.0076,0.0025,0.0037
11.0,16.6,0.08457,0.00266,0.00085,0.00126
16.6,22.8,0.02647,0.00124,0.00026,0.00039
22.8,41.9,0.006273,0.000314,6.3e-05,9.3e-05
1.0,1.71,20.15,0.56,0.4,0.58
1.71,2.97,9.834,0.08,0.148,0.209
2.97,4.02,4.293,0.047,0.043,0.07
4.02,5.9,1.835,0.019,0.018,0.027
5.9,7.09,0.8235,0.013,0.0082,0.0122
7.09,8.48,0.4964,0.0087,0.005,0.0074
8.48,11.0,0.2421,0.0044,0.0024,0.0036
11.0,16.6,0.08651,0.00165,0.00087,0.00129
16.6,22.8,0.02572,0.00075,0.00026,0.00038
22.8,41.9,0.005367,0.000162,5.4e-05,8e-05
1.0,1.71,20.32,0.53,0.41,0.59
1.71,2.97,9.991,0.074,0.15,0.212
2.97,4.02,4.329,0.041,0.043,0.071
4.02,5.9,1.899,0.016,0.019,0.028
5.9,7.09,0.8549,0.0115,0.0085,0.0127
7.09,8.48,0.4873,0.0075,0.0049,0.0072
8.48,11.0,0.2426,0.0038,0.0024,0.0036
11.0,16.6,0.08859,0.00146,0.00089,0.00132
16.6,22.8,0.02607,0.00066,0.00026,0.00039
22.8,41.9,0.005871,0.000149,5.9e-05,8.7e-05
1.0,1.71,22.23,0.55,0.44,0.64
1.71,2.97,10.42,0.08,0.16,0.22
2.97,4.02,4.524,0.042,0.045,0.074
4.02,5.9,1.926,0.016,0.019,0.029
5.9,7.09,0.8749,0.0114,0.0087,0.013
7.09,8.48,0.4868,0.0074,0.0049,0.0072
8.48,11.0,0.2492,0.0038,0.0025,0.0037
11.0,16.6,0.08582,0.00139,0.00086,0.00128
16.6,22.8,0.02661,0.00064,0.00027,0.0004
22.8,41.9,0.005754,0.000142,5.8e-05,8.6e-05
1.0,1.71,21.21,0.46,0.42,0.62
1.71,2.97,10.39,0.08,0.16,0.22
2.97,4.02,4.465,0.044,0.045,0.073
4.02,5.9,1.918,0.017,0.019,0.029
5.9,7.09,0.8572,0.0116,0.0086,0.0127
7.09,8.48,0.4935,0.0075,0.0049,0.0073
8.48,11.0,0.2553,0.0039,0.0026,0.0038
11.0,16.6,0.08525,0.0014,0.00085,0.00127
